summons_number,issue_date,violation,fine_amount,penalty_amount,interest_amount,payment_amount,amount_due,county,issuing_agency,is_camera_violation,report_date
9119529156,2024-04-30,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,Q,TRAFFIC,False,2026-08-22
9119529223,2024-04-30,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,Q,TRAFFIC,False,2026-08-22
9119659040,2024-04-30,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9120619376,2024-04-30,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9122442467,2024-04-30,MISUSE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9122576046,2024-04-30,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9122999980,2024-04-30,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9123572942,2024-04-30,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9124067660,2024-04-30,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9124745418,2024-04-30,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9124926164,2024-04-30,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,Q,TRAFFIC,False,2026-08-22
9125560177,2024-04-30,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,Q,TRAFFIC,False,2026-08-22
9125780001,2024-04-30,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,K,TRAFFIC,False,2026-08-22
9126750077,2024-04-30,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,NY,TRAFFIC,False,2026-08-22
8909438575,2024-04-29,MISUSE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,NY,TRAFFIC,False,2026-08-22
9099237224,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,BX,TRAFFIC,False,2026-08-22
9117264455,2024-04-29,NO STANDING-FOR HIRE VEH STND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9117839877,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9118364184,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9119209400,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9119717090,2024-04-29,MISUSE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,NY,TRAFFIC,False,2026-08-22
9120437110,2024-04-29,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9120614263,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9121021855,2024-04-29,MISUSE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9121298142,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9121688886,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9122083704,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9122101846,2024-04-29,MISUSE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,NY,TRAFFIC,False,2026-08-22
9122491843,2024-04-29,NO PARKING-EXC. DSBLTY PERMIT,180.0,0.0,0.0,180.0,0.0,R,TRAFFIC,False,2026-08-22
9122604728,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,BX,TRAFFIC,False,2026-08-22
9122711363,2024-04-29,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,0.0,0.0,NY,TRAFFIC,False,2026-08-22
9122846116,2024-04-29,MISUSE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9123005865,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,NY,TRAFFIC,False,2026-08-22
9123123631,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9123162776,2024-04-29,MISUSE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9123490410,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,K,TRAFFIC,False,2026-08-22
9123986359,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,BX,TRAFFIC,False,2026-08-22
9124120728,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9124143376,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9124351040,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9125370935,2024-04-29,NO STANDING-FOR HIRE VEH STND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9126550234,2024-04-29,FRAUDULENT USE PARKING PERMIT,65.0,0.0,0.0,65.0,0.0,NY,TRAFFIC,False,2026-08-22
9119998296,2024-04-28,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9123322172,2024-04-28,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9123627967,2024-04-28,NO STANDING-FOR HIRE VEH STND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9124142890,2024-04-28,MISUSE PARKING PERMIT,65.0,0.0,0.0,0.0,0.0,NY,TRAFFIC,False,2026-08-22
9124142967,2024-04-28,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9124538255,2024-04-28,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9124538358,2024-04-28,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9124538449,2024-04-28,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
9124538498,2024-04-28,NO STAND TAXI/FHV RELIEF STAND,115.0,0.0,0.0,115.0,0.0,NY,TRAFFIC,False,2026-08-22
