summons_number,issue_date,violation,fine_amount,penalty_amount,interest_amount,payment_amount,amount_due,county,issuing_agency,is_camera_violation,report_date
1000000001,2026-05-05,PHTO SCHOOL ZN SPEED VIOLATION,50,10,0,0,60,NY,DEP,True,2026-05-07
1000000002,2026-05-05,NO PARKING-STREET CLEANING,65,0,5,20,50,K,NYPD,False,2026-05-07
1000000003,2026-05-04,FAILURE TO STOP AT RED LIGHT,50,15,0,0,65,Q,DOT,True,2026-05-07
1000000004,2026-05-04,BUS LANE VIOLATION,115,25,10,0,150,BX,DOT,True,2026-05-07
1000000005,,DOUBLE PARKING,95,0,0,0,95,R,NYPD,False,2026-05-07
