issue_day,violation,violations_count,amount_due
2024-01-08,MISUSE PARKING PERMIT,35,0.0
2024-01-08,FRAUDULENT USE PARKING PERMIT,8,0.0
2024-01-08,NO STAND TAXI/FHV RELIEF STAND,4,0.0
2024-01-08,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-01-09,MOBILE BUS LANE VIOLATION,590,0.0
2024-01-09,MISUSE PARKING PERMIT,11,0.0
2024-01-09,FRAUDULENT USE PARKING PERMIT,7,0.0
2024-01-09,NO STAND TAXI/FHV RELIEF STAND,4,0.0
2024-01-09,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-01-10,MOBILE BUS LANE VIOLATION,609,0.0
2024-01-10,MISUSE PARKING PERMIT,31,0.0
2024-01-10,FRAUDULENT USE PARKING PERMIT,21,0.0
2024-01-10,NO STAND TAXI/FHV RELIEF STAND,14,0.0
2024-01-10,NO PARKING-EXC. DSBLTY PERMIT,5,0.0
2024-01-11,MOBILE BUS LANE VIOLATION,616,0.0
2024-01-11,MISUSE PARKING PERMIT,30,0.0
2024-01-11,NO STAND TAXI/FHV RELIEF STAND,13,0.0
2024-01-11,FRAUDULENT USE PARKING PERMIT,11,0.0
2024-01-11,NO PARKING-EXC. DSBLTY PERMIT,11,0.0
2024-01-12,MOBILE BUS LANE VIOLATION,671,0.0
2024-01-12,NO STAND TAXI/FHV RELIEF STAND,29,0.0
2024-01-12,MISUSE PARKING PERMIT,23,0.0
2024-01-12,NO PARKING-EXC. DSBLTY PERMIT,16,0.0
2024-01-12,FRAUDULENT USE PARKING PERMIT,4,0.0
2024-01-13,MOBILE BUS LANE VIOLATION,300,0.0
2024-01-13,NO STAND TAXI/FHV RELIEF STAND,37,0.0
2024-01-13,FRAUDULENT USE PARKING PERMIT,6,0.0
2024-01-13,MISUSE PARKING PERMIT,2,0.0
2024-01-13,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-01-14,MOBILE BUS LANE VIOLATION,248,0.0
2024-01-14,NO STAND TAXI/FHV RELIEF STAND,48,0.0
2024-01-14,MISUSE PARKING PERMIT,6,0.0
2024-01-14,FRAUDULENT USE PARKING PERMIT,4,0.0
2024-01-14,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-01-15,MOBILE BUS LANE VIOLATION,694,0.0
2024-01-15,NO STAND TAXI/FHV RELIEF STAND,12,0.0
2024-01-15,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-01-15,MISUSE PARKING PERMIT,3,0.0
2024-01-16,MOBILE BUS LANE VIOLATION,600,0.0
2024-01-16,NO PARKING-EXC. DSBLTY PERMIT,11,0.0
2024-01-16,NO STAND TAXI/FHV RELIEF STAND,10,0.0
2024-01-16,FRAUDULENT USE PARKING PERMIT,7,0.0
2024-01-16,MISUSE PARKING PERMIT,5,0.0
2024-01-17,MOBILE BUS LANE VIOLATION,550,0.0
2024-01-17,NO STAND TAXI/FHV RELIEF STAND,16,0.0
2024-01-17,NO PARKING-EXC. DSBLTY PERMIT,12,0.0
2024-01-17,MISUSE PARKING PERMIT,8,0.0
2024-01-17,FRAUDULENT USE PARKING PERMIT,6,0.0
2024-01-18,MOBILE BUS LANE VIOLATION,541,0.0
2024-01-18,FRAUDULENT USE PARKING PERMIT,17,0.0
2024-01-18,NO STAND TAXI/FHV RELIEF STAND,15,0.0
2024-01-18,MISUSE PARKING PERMIT,12,0.0
2024-01-18,NO PARKING-EXC. DSBLTY PERMIT,12,0.0
2024-01-19,MOBILE BUS LANE VIOLATION,681,0.0
2024-01-19,MISUSE PARKING PERMIT,18,0.0
2024-01-19,FRAUDULENT USE PARKING PERMIT,7,0.0
2024-01-19,NO STAND TAXI/FHV RELIEF STAND,5,0.0
2024-01-19,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-01-20,MOBILE BUS LANE VIOLATION,225,0.0
2024-01-20,NO STAND TAXI/FHV RELIEF STAND,34,0.0
2024-01-20,MISUSE PARKING PERMIT,4,0.0
2024-01-20,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-01-20,FRAUDULENT USE PARKING PERMIT,3,0.0
2024-01-21,MOBILE BUS LANE VIOLATION,193,0.0
2024-01-21,NO STAND TAXI/FHV RELIEF STAND,56,0.0
2024-01-21,FRAUDULENT USE PARKING PERMIT,4,0.0
2024-01-21,MISUSE PARKING PERMIT,4,0.0
2024-01-21,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-01-22,MOBILE BUS LANE VIOLATION,512,0.0
2024-01-22,MISUSE PARKING PERMIT,14,0.0
2024-01-22,NO STAND TAXI/FHV RELIEF STAND,10,0.0
2024-01-22,FRAUDULENT USE PARKING PERMIT,8,0.0
2024-01-22,NO PARKING-EXC. DSBLTY PERMIT,7,0.0
2024-01-23,MOBILE BUS LANE VIOLATION,511,0.0
2024-01-23,NO STAND TAXI/FHV RELIEF STAND,17,0.0
2024-01-23,MISUSE PARKING PERMIT,16,0.0
2024-01-23,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-01-23,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-01-24,MOBILE BUS LANE VIOLATION,684,0.0
2024-01-24,MISUSE PARKING PERMIT,28,0.0
2024-01-24,NO STAND TAXI/FHV RELIEF STAND,17,0.0
2024-01-24,NO PARKING-EXC. DSBLTY PERMIT,11,0.0
2024-01-24,FRAUDULENT USE PARKING PERMIT,7,0.0
2024-01-25,MOBILE BUS LANE VIOLATION,487,0.0
2024-01-25,MISUSE PARKING PERMIT,31,0.0
2024-01-25,FRAUDULENT USE PARKING PERMIT,17,0.0
2024-01-25,NO STAND TAXI/FHV RELIEF STAND,9,0.0
2024-01-25,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-01-26,MOBILE BUS LANE VIOLATION,677,0.0
2024-01-26,MISUSE PARKING PERMIT,21,0.0
2024-01-26,NO STAND TAXI/FHV RELIEF STAND,19,0.0
2024-01-26,NO PARKING-EXC. DSBLTY PERMIT,17,0.0
2024-01-26,FRAUDULENT USE PARKING PERMIT,15,0.0
2024-01-27,MOBILE BUS LANE VIOLATION,206,0.0
2024-01-27,NO STAND TAXI/FHV RELIEF STAND,42,0.0
2024-01-27,MISUSE PARKING PERMIT,13,0.0
2024-01-27,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-01-27,FRAUDULENT USE PARKING PERMIT,2,0.0
2024-01-28,MOBILE BUS LANE VIOLATION,172,0.0
2024-01-28,NO STAND TAXI/FHV RELIEF STAND,47,0.0
2024-01-28,MISUSE PARKING PERMIT,10,0.0
2024-01-28,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-01-29,MOBILE BUS LANE VIOLATION,601,0.0
2024-01-29,FRAUDULENT USE PARKING PERMIT,14,0.0
2024-01-29,MISUSE PARKING PERMIT,14,0.0
